9,-11866,0,-11866
25,-45888,-295,-45594
16,-47427,-3596,-43831
-18,16565,124,16441
-23,47231,9393,37838
4,4857,5416,-559
8,-3131,-7481,4350
-5,19093,-3091,22185
10,-23974,-1971,-22004
14,-46635,-7391,-39245
18,-19163,-10886,-8277
22,-58990,-14425,-44565
-3,-16797,-5592,-11205
-29,54042,17884,36158
-40,76924,43255,33669
-19,72957,39331,33626
-7,30260,18541,11718
-7,32088,4203,27886
-11,8272,11577,-3305
-10,14945,15490,-545
7,-4458,892,-5350
-5,-3505,1301,-4805
0,19542,1584,17958
11,-37268,-11773,-25496
-8,9199,2582,6617
-27,56010,31567,24443
-5,19472,24779,-5307
3,-7551,4972,-12523
8,9764,-10369,20133
22,-55087,-34436,-20651
28,-69519,-51571,-17948
24,-56573,-53802,-2770
14,-45162,-40344,-4818
-7,-4272,-4813,541
-5,22295,12573,9722
-14,18728,26091,-7363
-6,44484,24075,20408
-18,19372,28039,-8667
-19,59755,40345,19410
-13,22879,33372,-10493
5,9551,7838,1712
5,-17067,-11275,-5792
14,-18444,-25927,7484
-5,-25712,-11160,-14552
-10,32783,15841,16941
6,-15883,58,-15940
-5,6725,6676,50
10,8882,-7870,16751
-8,-24731,-3427,-21303
1,30504,7978,22526
20,-55809,-30419,-25390
10,-20514,-25457,4943
-12,16969,4317,12651
-18,24872,28984,-4112
12,-2262,3779,-6041
-1,-8379,-3325,-5054
-27,65001,37918,27083
-20,32433,42355,-9922
-19,35697,43954,-8257
-9,53268,35221,18047
23,-34281,-24106,-10175
35,-79422,-67991,-11431
32,-70452,-77478,7026
-11,-29866,-18984,-10882
-11,35794,22352,13442
-13,6288,28846,-22558
-9,60314,36355,23959
-20,32483,36175,-3692
-12,43975,36814,7162
-20,23677,36051,-12375
9,21590,9630,11960
32,-78975,-58056,-20919
38,-68817,-80357,11539
22,-76758,-71818,-4939
4,-31156,-30897,-259
-11,7628,10449,-2822
1,18776,14150,4626
-9,13335,17836,-4501
-28,70804,55699,15104
-23,49852,54339,-4487
-22,46278,53979,-7702
-3,40741,30996,9745
28,-48514,-39910,-8604
32,-74973,-73206,-1767
31,-70870,-79251,8381
18,-76684,-64875,-11809
8,-23979,-29835,5856
1,-10642,-8430,-2212
-19,34668,32500,2168
-8,41694,33993,7701
7,-14964,-4194,-10771
4,4802,-3236,8039
10,-16765,-21350,4585
17,-49649,-41102,-8547
28,-50151,-54687,4536
4,-37305,-33432,-3873
-28,49577,39489,10088
-32,60444,68355,-7910
-25,66865,70970,-4104
-6,50684,41428,9256
-2,4844,9493,-4649
8,-5304,-10484,5180
5,-33154,-23298,-9856
-1,1105,-3143,4248
-15,13747,17799,-4052
-22,51077,48313,2763
-18,44863,47660,-2796
-8,32309,32330,-21
3,6650,5735,915
-13,13346,15410,-2064
-13,35246,29226,6020
-13,11973,23611,-11637
13,7504,566,6938
19,-50728,-41719,-9009
20,-32911,-42922,10011
19,-62320,-55376,-6944
0,-19584,-18238,-1345
2,5751,-610,6362
-18,12113,21778,-9665
-6,51586,36947,14639
2,-15418,-2713,-12705
23,-15367,-24865,9497
28,-74504,-67238,-7266
27,-57918,-64353,6435
17,-62710,-57303,-5407
-16,9505,8101,1404
-24,59371,52874,6497
-27,51077,61991,-10914
-14,68992,58997,9995
11,-7330,-3552,-3778
10,-25974,-24996,-979
21,-34396,-42155,7759
21,-74719,-62866,-11853
26,-45186,-52318,7132
22,-64805,-60088,-4717
-5,-5608,-9459,3851
-4,17239,11996,5243
15,-31341,-21083,-10258
-2,3760,878,2882
-10,32749,21568,11181
-11,2286,12448,-10162
-13,38672,36667,2005
0,18321,15455,2866
3,-12097,-7527,-4570
-13,23056,19312,3744
-21,38594,37922,672
-10,24667,29111,-4444
-1,13136,14361,-1225
7,-382,-4271,3889
-10,-197,3119,-3316
8,1696,-3909,5605
10,-45789,-33059,-12730
11,-1533,-12104,10571
-16,354,5986,-5632
-34,73275,67075,6201
-25,57398,62747,-5348
-19,56389,57049,-661
-14,52737,46366,6371
16,-17051,-15135,-1916
18,-55690,-47048,-8642
0,-2850,-10791,7940
-19,11258,15727,-4470
-29,54464,57031,-2567
-20,63003,61070,1933
8,11304,11348,-44
21,-36424,-35354,-1070
1,-19192,-20756,1564
-6,2825,482,2343
1,-15195,-7315,-7880
-14,28969,28264,704
-3,33817,25329,8488
7,-25919,-16964,-8954
27,-29652,-35908,6256
5,-43129,-36737,-6393
3,5361,-4433,9794
-15,-8689,3419,-12109
-3,43398,32369,11029
14,-30841,-23554,-7288
32,-42793,-47820,5027
22,-67906,-64776,-3130
6,-26156,-30238,4082
6,-26360,-23479,-2881
-6,3526,5425,-1899
6,16326,8264,8062
24,-51868,-45962,-5906
27,-48922,-51959,3037
7,-34349,-35179,830
4,-14578,-16649,2071
9,-28799,-23569,-5231
16,-17616,-21568,3952
27,-50670,-51656,985
2,-32049,-29178,-2871
-10,24837,16910,7927
7,-19761,-13764,-5997
-7,9333,11113,-1780
-23,64567,54853,9714
-30,47751,53166,-5415
-9,45059,43152,1907
12,-9423,-7004,-2419
16,-25573,-27731,2158
18,-47537,-46754,-783
-13,-13396,-7394,-6002
-27,61656,54947,6709
-22,41116,47245,-6129
-23,67774,65241,2533
-27,72101,69172,2930
-26,57795,60284,-2489
-5,28115,29006,-891
-6,5809,10377,-4569
-12,33058,28253,4804
9,-16838,-14776,-2061
15,-43443,-37160,-6283
11,-12217,-18078,5861
16,-44497,-42260,-2238
23,-54516,-52464,-2052
11,-33651,-33792,140
-18,21310,19879,1431
-22,47499,46035,1464
-18,39080,43000,-3920
-16,58493,53751,4742
-13,36560,36030,530
-18,32715,35425,-2710
-15,39037,37915,1122
-13,23608,26916,-3308
3,12830,10162,2668
0,-12481,-8122,-4360
13,-9761,-15005,5244
9,-45996,-38759,-7236
8,-7582,-12396,4814
13,-38593,-35715,-2878
-2,-8050,-6447,-1603
2,11279,5834,5445
-10,-3405,3525,-6931
-11,46681,39834,6847
-9,12036,15796,-3761
0,16644,14259,2385
-14,17004,19455,-2451
-28,61241,57972,3269
-7,25604,26847,-1244
-4,5006,9637,-4631
12,8355,-1,8357
23,-65472,-59437,-6035
4,-24814,-24210,-604
-9,12644,10030,2614
7,-16374,-13497,-2877
2,-7371,-5186,-2185
14,-15,-8083,8068
4,-38955,-31825,-7131
-8,23772,18981,4790
-26,32474,36627,-4153
-4,39828,35220,4608
14,-28009,-23160,-4849
3,1244,-2659,3903
5,-11896,-13837,1941
10,-39926,-34600,-5326
24,-34709,-37945,3237
24,-60153,-58759,-1394
-7,-6172,-6378,206
-7,19664,15950,3713
