145,0,0,0,0
168,80,0,0,0
174,30,-169,0,0
292,37,-225,-191,0
450,-132,-236,-112,272
423,-32,-344,-119,322
480,-18,-400,-60,325
805,136,-362,-209,483
729,-39,-445,-230,562
860,-109,-607,-307,542
936,-59,-634,-369,512
685,-371,-839,-261,763
694,-360,-825,-252,757
909,-188,-608,18,935
978,-102,-540,104,1043
960,-148,-597,58,985
991,-173,-661,-21,922
981,-163,-670,-43,895
1147,-110,-732,3,1016
1158,68,-675,-63,1066
1280,59,-804,-105,1112
1274,54,-804,-101,1113
1128,-183,-998,-88,1315
1076,-242,-1094,-167,1320
1046,-190,-1035,-70,1399
1095,-167,-1076,-117,1323
1143,-90,-1040,-181,1250
1126,-118,-1084,-202,1285
1123,-122,-1090,-211,1281
1105,-108,-1071,-179,1332
1096,-97,-1080,-192,1311
1097,-97,-1082,-192,1312
1099,-80,-1070,-210,1325
1089,-80,-1066,-208,1320
1102,-42,-1069,-226,1308
1101,-40,-1062,-227,1304
1102,-40,-1063,-229,1304
1109,-30,-1063,-232,1295
1110,-29,-1061,-232,1294
1107,-25,-1056,-225,1294
1106,-23,-1062,-232,1284
1074,-25,-1054,-251,1261
1069,72,-1048,-278,1318
1062,71,-1040,-278,1315
1045,120,-1037,-346,1310
1064,124,-1050,-347,1327
1048,113,-1053,-340,1327
985,54,-1093,-349,1353
978,175,-980,-272,1370
1003,179,-1061,-347,1319
965,158,-1065,-284,1378
929,119,-1087,-288,1443
920,137,-1068,-278,1444
925,151,-1102,-315,1424
903,154,-1094,-336,1402
961,202,-1102,-356,1446
967,207,-1098,-357,1443
966,204,-1101,-359,1443
966,204,-1101,-359,1443
954,208,-1096,-342,1459
943,199,-1093,-339,1471
945,226,-1072,-348,1461
952,224,-1084,-358,1464
958,230,-1086,-369,1455
955,233,-1083,-370,1449
953,232,-1082,-370,1448
954,233,-1082,-371,1447
950,224,-1092,-376,1452
939,227,-1082,-365,1456
941,238,-1087,-378,1442
941,237,-1090,-377,1444
948,237,-1093,-391,1448
948,234,-1094,-390,1452
946,233,-1092,-390,1451
946,233,-1092,-391,1450
945,234,-1092,-391,1448
944,234,-1093,-392,1447
943,233,-1093,-398,1444
946,233,-1093,-400,1451
945,232,-1094,-401,1451
942,234,-1092,-401,1451
935,231,-1091,-399,1451
936,239,-1089,-402,1448
934,239,-1086,-401,1447
935,241,-1087,-408,1444
917,237,-1095,-406,1461
917,237,-1095,-406,1460
907,247,-1080,-403,1466
912,248,-1083,-407,1465
908,245,-1084,-406,1466
910,253,-1078,-404,1463
910,252,-1079,-405,1462
910,252,-1080,-409,1459
906,250,-1083,-401,1487
900,248,-1084,-403,1490
901,252,-1083,-403,1490
896,253,-1078,-402,1490
905,260,-1082,-412,1487
906,262,-1081,-413,1484
906,261,-1083,-415,1484
904,260,-1083,-414,1485
903,265,-1081,-417,1480
900,264,-1080,-417,1479
902,276,-1080,-428,1474
903,275,-1082,-429,1475
904,281,-1084,-437,1474
902,279,-1093,-436,1482
904,277,-1094,-441,1482
879,267,-1090,-437,1502
895,283,-1084,-441,1498
895,283,-1084,-441,1497
896,285,-1081,-438,1498
897,286,-1079,-435,1501
897,285,-1080,-436,1500
895,284,-1077,-434,1505
894,284,-1077,-436,1503
893,284,-1078,-437,1503
893,283,-1078,-438,1502
893,282,-1078,-439,1502
887,280,-1076,-440,1502
887,282,-1076,-441,1502
886,282,-1075,-441,1501
886,282,-1076,-444,1500
885,281,-1077,-444,1503
885,281,-1077,-444,1502
885,281,-1077,-444,1502
884,281,-1077,-444,1502
884,281,-1078,-445,1501
884,282,-1078,-446,1500
884,284,-1075,-445,1498
884,284,-1072,-441,1499
883,284,-1072,-440,1500
878,281,-1071,-440,1504
882,285,-1069,-442,1502
881,279,-1075,-446,1503
879,279,-1074,-445,1504
880,280,-1075,-447,1502
880,278,-1078,-447,1504
881,278,-1080,-449,1504
886,282,-1080,-452,1501
886,283,-1079,-452,1500
878,284,-1068,-443,1502
882,287,-1069,-448,1498
873,273,-1079,-446,1511
871,276,-1073,-442,1509
886,280,-1083,-459,1498
882,267,-1087,-451,1511
875,271,-1071,-447,1500
880,274,-1074,-456,1497
877,271,-1076,-455,1500
878,275,-1072,-452,1497
875,275,-1070,-450,1498
876,275,-1071,-452,1496
876,271,-1074,-452,1498
875,270,-1073,-452,1497
874,269,-1074,-451,1497
877,266,-1077,-452,1504
881,268,-1079,-454,1503
880,272,-1077,-456,1501
879,271,-1077,-456,1500
887,277,-1077,-462,1497
886,277,-1077,-462,1496
872,276,-1057,-446,1497
877,280,-1057,-454,1491
872,260,-1074,-455,1516
870,260,-1073,-454,1516
875,268,-1076,-466,1506
874,268,-1075,-467,1504
873,267,-1072,-462,1502
877,266,-1074,-458,1509
882,269,-1075,-459,1512
882,273,-1073,-460,1511
880,273,-1070,-458,1510
879,272,-1070,-458,1510
879,272,-1070,-459,1508
879,272,-1070,-459,1507
881,272,-1069,-458,1508
881,273,-1069,-458,1508
880,273,-1069,-458,1508
880,271,-1069,-457,1508
884,271,-1071,-457,1510
887,274,-1071,-459,1510
886,277,-1068,-459,1508
884,276,-1065,-455,1508
883,275,-1066,-453,1510
884,274,-1067,-454,1511
884,274,-1068,-455,1510
883,274,-1068,-456,1509
884,274,-1069,-457,1509
884,274,-1069,-458,1508
883,274,-1067,-458,1507
882,273,-1067,-457,1507
884,274,-1067,-458,1504
885,277,-1065,-457,1503
883,277,-1063,-456,1503
880,273,-1062,-452,1506
879,272,-1063,-452,1506
879,271,-1065,-454,1506
878,270,-1065,-454,1506
878,269,-1066,-454,1507
878,269,-1067,-455,1507
879,269,-1067,-457,1506
880,270,-1067,-457,1504
881,271,-1066,-457,1504
881,272,-1065,-456,1504
881,272,-1064,-455,1505
881,271,-1065,-456,1504
881,271,-1066,-457,1503
881,271,-1066,-458,1502
883,272,-1065,-456,1501
